1.1855136e+11 + 1.6628045e+04i
1.1891881e+11 + 1.8362203e+04i
1.1928623e+11 + 1.0231936e+04i
1.1965361e+11 + 4.4079188e+04i
1.2002101e+11 + 1.8167977e+04i
1.2038842e+11 + -1.2234932e+04i
1.2075583e+11 + 1.4193587e+04i
1.2112325e+11 + -1.0651037e+04i
1.2149066e+11 + -1.1790995e+04i
1.2185806e+11 + -6.1726357e+03i
1.2222549e+11 + -3.2671040e+03i
1.2259290e+11 + 2.6660005e+03i
1.2296031e+11 + 3.6673232e+03i
1.2332771e+11 + 1.8871445e+04i
1.2369512e+11 + 2.5165344e+04i
1.2406252e+11 + 8.2540371e+03i
1.2442996e+11 + 1.0816410e+04i
1.2479739e+11 + 1.2135643e+04i
1.2516481e+11 + 1.6031488e+04i
1.2553221e+11 + 3.6224887e+04i
1.2589960e+11 + 3.5833043e+04i
1.2626700e+11 + -1.5934840e+04i
1.2663440e+11 + -6.6990186e+02i
1.2700181e+11 + -7.1169990e+03i
1.2736924e+11 + -3.1789137e+04i
1.2773666e+11 + -1.0019590e+03i
1.2810406e+11 + -2.7722363e+04i
1.2847150e+11 + -2.8917602e+04i
1.2883887e+11 + -3.5039873e+03i
1.2920629e+11 + 2.3864188e+04i
1.2957370e+11 + -6.1845020e+02i
1.2994111e+11 + -1.6050152e+04i
1.3030852e+11 + -7.7284648e+03i
1.3067597e+11 + 1.4899777e+04i
1.3104338e+11 + -4.9496562e+03i
1.3141077e+11 + 4.6715410e+04i
1.3177818e+11 + 4.0119496e+04i
1.3214556e+11 + -1.1146200e+04i
1.3251299e+11 + -1.6372626e+04i
1.3288042e+11 + -1.2436967e+04i
1.3324781e+11 + 5.4821255e+03i
1.3361525e+11 + 1.4003676e+04i
1.3398266e+11 + -1.4848607e+04i
1.3435008e+11 + 9.5615762e+03i
1.3471747e+11 + 7.2269707e+03i
1.3508487e+11 + 2.7590784e+03i
1.3545228e+11 + 1.3094805e+04i
1.3581970e+11 + -1.1894620e+04i
1.3618710e+11 + 1.1438437e+04i
1.3655452e+11 + -1.2418007e+04i
1.3692194e+11 + 2.5568920e+04i
1.3728938e+11 + 1.1502573e+04i
1.3765678e+11 + 3.3810680e+04i
1.3802414e+11 + -1.5809423e+04i
1.3839155e+11 + 3.6834805e+04i
1.3875901e+11 + -2.9635428e+04i
1.3912639e+11 + -3.1835957e+03i
1.3949380e+11 + 2.7030512e+04i
1.3986123e+11 + -3.8480391e+03i
1.4022864e+11 + -1.3192389e+04i
1.4059605e+11 + -1.0633247e+04i
1.4096345e+11 + 1.1040004e+04i
1.4133086e+11 + -1.9538041e+04i
1.4169829e+11 + -1.0947678e+04i
1.4206568e+11 + 3.9733047e+03i
1.4243312e+11 + 1.4127818e+04i
1.4280055e+11 + 1.0463709e+04i
1.4316795e+11 + 2.9184258e+04i
1.4353534e+11 + 1.8847684e+04i
1.4390274e+11 + 1.6750076e+04i
1.4427013e+11 + 2.8210266e+04i
